"EXPT","TRTCODE","DEFINITION","TRT_CODE_STD","TRT_CODES_LUMPED","YEAR","SPP","PLOT","Raw_Abund","Tot_hits","Rel_Abund","Community_type","EXPT_START","USE_IN_ANALYSIS_X","USE_IN_ANALYSIS_Y"
"Saddle","X","Control plots","X","X","1989","DESCES","2",15,100,0.15,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","FESBRA","2",1,100,0.01,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","2",46,100,0.46,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","2",10,100,0.1,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SIBPRO","2",19,100,0.19,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TRIPAR","2",9,100,0.09,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CARHET","3",2,111,0.018018018018018,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","3",94,111,0.846846846846847,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","MERLAN","3",13,111,0.117117117117117,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","3",2,111,0.018018018018018,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","4",9,83,0.108433734939759,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CALLEP","4",1,83,0.0120481927710843,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CASOCC","4",8,83,0.0963855421686747,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CHIJAM","4",2,83,0.0240963855421687,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","DESCES","4",23,83,0.27710843373494,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ERISIM","4",4,83,0.0481927710843374,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","FESBRA","4",3,83,0.036144578313253,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","4",22,83,0.265060240963855,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","4",6,83,0.072289156626506,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","RANADO","4",1,83,0.0120481927710843,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TRIPAR","4",4,83,0.0481927710843374,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","5",2,86,0.0232558139534884,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","DESCES","5",36,86,0.418604651162791,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ERISIM","5",3,86,0.0348837209302326,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","FESBRA","5",1,86,0.0116279069767442,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","5",6,86,0.0697674418604651,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","5",5,86,0.0581395348837209,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SIBPRO","5",29,86,0.337209302325581,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TRIPAR","5",4,86,0.0465116279069767,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","6",3,66,0.0454545454545455,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CASOCC","6",1,66,0.0151515151515152,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","DESCES","6",4,66,0.0606060606060606,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ERISIM","6",2,66,0.0303030303030303,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","6",18,66,0.272727272727273,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","6",4,66,0.0606060606060606,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLVIV","6",1,66,0.0151515151515152,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","RANADO","6",3,66,0.0454545454545455,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SIBPRO","6",9,66,0.136363636363636,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TRIPAR","6",21,66,0.318181818181818,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","7",9,52,0.173076923076923,"WM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CALLEP","7",5,52,0.0961538461538462,"WM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CASOCC","7",1,52,0.0192307692307692,"WM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","DESCES","7",13,52,0.25,"WM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","7",12,52,0.230769230769231,"WM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","LLOSER","7",4,52,0.0769230769230769,"WM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLVIV","7",2,52,0.0384615384615385,"WM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SALNIV","7",2,52,0.0384615384615385,"WM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SOLMUL","7",1,52,0.0192307692307692,"WM","1989"," "," "
