"year","grid_pt","last_snow","snowmelt","snowmelt_est","Estimate","Est.Error","Q2.5","Q97.5"
"1993","1",200,NA,200,196.866633372544,0.602150717474131,154.59223281721,238.931467069912
"1993","2",200,NA,200,194.880470212361,0.603121362655345,152.651716900849,237.191043947419
"1993","3",200,NA,200,192.83103590098,0.602845800481574,150.771770268219,235.219569575777
"1993","4",182,200,188.084004008065,188.084004008065,0.604902879887505,145.501233743254,230.752798440214
"1993","5",182,200,189.5729968585,189.5729968585,0.6045178301816,146.959992222229,231.997002758878
"1993","6",182,200,187.553727435251,187.553727435251,0.599452466460477,145.503131704319,229.466505970037
"1993","7",149,173,169.445653100928,169.445653100928,0.601337295986479,127.552495809454,212.148443978686
"1993","8",127,149,138,167.011922216421,0.600680249648037,124.773907600383,209.190864672572
"1993","9",127,149,138,164.546143478366,0.602723806743422,122.275884732781,206.82163895489
"1993","10",111,127,117.261140365604,117.261140365604,0.600606504038352,74.9693874200709,159.489757410692
"1993","11",200,NA,200,199.573253496026,0.605080497967236,156.549594183665,242.006086118887
"1993","12",200,NA,200,195.440438097172,0.604217216348439,152.883707792716,237.806338245769
"1993","13",200,NA,205.800889289192,205.800889289192,0.604293468033859,163.213961205261,248.658172641818
"1993","14",182,200,193.802160497631,193.802160497631,0.604665715926336,151.340614378308,236.611085783538
"1993","15",182,200,189.437923236568,189.437923236568,0.606290325900356,146.642189575968,231.984120018101
"1993","16",173,182,180.437259075302,180.437259075302,0.596568694455549,138.237791182165,222.347222803334
"1993","17",149,173,171.790960159185,171.790960159185,0.604040387125318,129.487048605499,214.330582568148
"1993","18",127,149,138,153.198423894586,0.60439606284815,110.54015497914,195.884332070387
"1993","19",127,149,147.275767660028,147.275767660028,0.608448395563602,104.409907037339,190.007391328321
"1993","20",111,127,121.7564334494,121.7564334494,0.601670530067205,79.6442519400771,163.903412145868
"1993","21",200,NA,200.517901563352,200.517901563352,0.60447139075312,158.033570091662,242.834270098584
"1993","22",200,NA,200,198.197145431242,0.606837365838515,156.002239534913,241.06057738345
"1993","23",200,NA,206.401630326031,206.401630326031,0.604007940736847,164.104407223896,249.324955557581
"1993","24",200,NA,205.894447552237,205.894447552237,0.603933873931115,163.40924302624,248.35318783638
"1993","25",182,200,186.942977843118,186.942977843118,0.604919474040415,144.629178267419,229.429300701666
"1993","26",149,173,172.175473252099,172.175473252099,0.602590654832246,129.980910682105,214.550382125521
"1993","27",149,173,161,176.812562836002,0.59878330533237,134.452405228197,218.553251817846
"1993","28",127,149,138,179.483658674499,0.602028612077241,137.298322407373,222.16222339591
"1993","29",111,127,119,147.73761419994,0.606089424602302,105.076514350877,190.24707305431
"1993","30",127,149,127.920165473642,127.920165473642,0.601792106503207,85.2835468693626,170.365712944874
"1993","31",200,NA,200,195.246428715207,0.600904304210959,153.334307947962,237.595094159844
"1993","32",200,NA,200,197.625855820441,0.606674654399727,154.901953493263,240.287165822868
"1993","33",200,NA,204.513894227218,204.513894227218,0.607018507287022,162.226796665577,247.43736159218
"1993","34",200,NA,205.938727513575,205.938727513575,0.605898903522894,163.28320063664,248.180982496273
"1993","35",200,NA,204.242517807942,204.242517807942,0.605121393457807,161.99288212961,246.866970867551
"1993","36",149,173,161,176.413527416018,0.606008587741313,133.727095030369,219.137596480334
"1993","37",149,173,161,177.096713297415,0.606425181622175,134.302614103911,219.32617656779
"1993","38",127,149,138,184.139834590736,0.601483814774971,141.916803735514,225.788975976815
"1993","39",127,149,138,152.849475354917,0.60193471674195,110.981266392346,195.251203352268
"1993","40",111,127,119,128.916830946496,0.602189065702533,86.7691553840767,171.369643243035
"1993","41",200,NA,200,195.722085145082,0.608134945676496,152.932551100219,238.587431176796
"1993","42",200,NA,200,199.124625023669,0.600969197408814,157.012912156951,241.371400202653
"1993","43",200,NA,208.969993111199,208.969993111199,0.604712883387677,166.779742057647,251.514876090674
"1993","44",200,NA,210.709756248991,210.709756248991,0.604467483437368,167.907078491275,253.385262050515
